id,row_index,c50,c50_rep,c60,c60_rep,c70,c70_rep
advbench-57,57,advbench-57,1,advbench-57,1,advbench-57,1
advbench-58,58,advbench-58,1,advbench-58,1,advbench-58,1
advbench-59,59,advbench-59,1,advbench-59,1,advbench-59,1
advbench-60,60,advbench-60,1,advbench-60,1,advbench-60,1
advbench-61,61,advbench-61,1,advbench-61,1,advbench-61,1
advbench-62,62,advbench-62,1,advbench-62,1,advbench-62,1
advbench-63,63,advbench-63,1,advbench-63,1,advbench-63,1
advbench-64,64,advbench-64,1,advbench-64,1,advbench-64,1
advbench-65,65,advbench-65,1,advbench-65,1,advbench-65,1
advbench-66,66,advbench-66,1,advbench-66,1,advbench-66,1
advbench-67,67,advbench-67,1,advbench-67,1,advbench-67,1
advbench-68,68,advbench-68,1,advbench-68,1,advbench-68,1
advbench-69,69,advbench-261,0,advbench-69,1,advbench-69,1
advbench-70,70,advbench-70,1,advbench-70,1,advbench-70,1
advbench-71,71,advbench-71,1,advbench-71,1,advbench-71,1
advbench-72,72,advbench-72,1,advbench-72,1,advbench-72,1
advbench-73,73,advbench-73,1,advbench-73,1,advbench-73,1
advbench-74,74,advbench-74,1,advbench-74,1,advbench-74,1
advbench-75,75,advbench-75,1,advbench-75,1,advbench-75,1
advbench-76,76,advbench-76,1,advbench-76,1,advbench-76,1
advbench-77,77,advbench-77,1,advbench-77,1,advbench-77,1
advbench-78,78,advbench-3,0,advbench-78,1,advbench-78,1
advbench-79,79,advbench-79,1,advbench-79,1,advbench-79,1
advbench-80,80,advbench-305,0,advbench-305,0,advbench-305,0
advbench-81,81,advbench-81,1,advbench-81,1,advbench-81,1
advbench-82,82,advbench-82,1,advbench-82,1,advbench-82,1
advbench-83,83,advbench-83,1,advbench-83,1,advbench-83,1
advbench-84,84,advbench-232,0,advbench-232,0,advbench-84,1
advbench-85,85,advbench-85,1,advbench-85,1,advbench-85,1
advbench-86,86,advbench-86,1,advbench-86,1,advbench-86,1
advbench-87,87,advbench-87,1,advbench-87,1,advbench-87,1
advbench-88,88,advbench-88,1,advbench-88,1,advbench-88,1
advbench-89,89,advbench-89,1,advbench-89,1,advbench-89,1
advbench-90,90,advbench-90,1,advbench-90,1,advbench-90,1
advbench-91,91,advbench-91,1,advbench-91,1,advbench-91,1
advbench-92,92,advbench-92,1,advbench-92,1,advbench-92,1
advbench-93,93,advbench-93,1,advbench-93,1,advbench-93,1
advbench-94,94,advbench-94,1,advbench-94,1,advbench-94,1
advbench-95,95,advbench-95,1,advbench-95,1,advbench-95,1
advbench-96,96,advbench-96,1,advbench-96,1,advbench-96,1
advbench-97,97,advbench-97,1,advbench-97,1,advbench-97,1
advbench-98,98,advbench-98,1,advbench-98,1,advbench-98,1
advbench-99,99,advbench-99,1,advbench-99,1,advbench-99,1
advbench-100,100,advbench-100,1,advbench-100,1,advbench-100,1
advbench-101,101,advbench-443,0,advbench-101,1,advbench-101,1
advbench-102,102,advbench-102,1,advbench-102,1,advbench-102,1
advbench-103,103,advbench-103,1,advbench-103,1,advbench-103,1
advbench-104,104,advbench-104,1,advbench-104,1,advbench-104,1
advbench-105,105,advbench-105,1,advbench-105,1,advbench-105,1
advbench-106,106,advbench-106,1,advbench-106,1,advbench-106,1
advbench-107,107,advbench-261,0,advbench-107,1,advbench-107,1
advbench-108,108,advbench-108,1,advbench-108,1,advbench-108,1
advbench-109,109,advbench-443,0,advbench-109,1,advbench-109,1
advbench-110,110,advbench-110,1,advbench-110,1,advbench-110,1
advbench-111,111,advbench-111,1,advbench-111,1,advbench-111,1
advbench-112,112,advbench-112,1,advbench-112,1,advbench-112,1
advbench-113,113,advbench-113,1,advbench-113,1,advbench-113,1
advbench-114,114,advbench-114,1,advbench-114,1,advbench-114,1
advbench-115,115,advbench-115,1,advbench-115,1,advbench-115,1
advbench-116,116,advbench-116,1,advbench-116,1,advbench-116,1
advbench-117,117,advbench-117,1,advbench-117,1,advbench-117,1
advbench-118,118,advbench-118,1,advbench-118,1,advbench-118,1
advbench-119,119,advbench-119,1,advbench-119,1,advbench-119,1
advbench-120,120,advbench-120,1,advbench-120,1,advbench-120,1
advbench-121,121,advbench-121,1,advbench-121,1,advbench-121,1
advbench-122,122,advbench-122,1,advbench-122,1,advbench-122,1
advbench-123,123,advbench-123,1,advbench-123,1,advbench-123,1
advbench-124,124,advbench-216,0,advbench-216,0,advbench-124,1
advbench-125,125,advbench-125,1,advbench-125,1,advbench-125,1
advbench-126,126,advbench-126,1,advbench-126,1,advbench-126,1
advbench-127,127,advbench-158,0,advbench-127,1,advbench-127,1
advbench-128,128,advbench-128,1,advbench-128,1,advbench-128,1
advbench-129,129,advbench-129,1,advbench-129,1,advbench-129,1
advbench-130,130,advbench-130,1,advbench-130,1,advbench-130,1
advbench-131,131,advbench-131,1,advbench-131,1,advbench-131,1
advbench-132,132,advbench-132,1,advbench-132,1,advbench-132,1
advbench-133,133,advbench-133,1,advbench-133,1,advbench-133,1
advbench-134,134,advbench-134,1,advbench-134,1,advbench-134,1
advbench-135,135,advbench-135,1,advbench-135,1,advbench-135,1
advbench-136,136,advbench-136,1,advbench-136,1,advbench-136,1
advbench-137,137,advbench-137,1,advbench-137,1,advbench-137,1
advbench-138,138,advbench-138,1,advbench-138,1,advbench-138,1
advbench-139,139,advbench-139,1,advbench-139,1,advbench-139,1
advbench-140,140,advbench-140,1,advbench-140,1,advbench-140,1
advbench-141,141,advbench-158,0,advbench-153,0,advbench-141,1
advbench-142,142,advbench-142,1,advbench-142,1,advbench-142,1
advbench-143,143,advbench-143,1,advbench-143,1,advbench-143,1
advbench-144,144,advbench-144,1,advbench-144,1,advbench-144,1
advbench-145,145,advbench-145,1,advbench-145,1,advbench-145,1
advbench-146,146,advbench-146,1,advbench-146,1,advbench-146,1
advbench-147,147,advbench-291,0,advbench-147,1,advbench-147,1
advbench-148,148,advbench-148,1,advbench-148,1,advbench-148,1
advbench-149,149,advbench-149,1,advbench-149,1,advbench-149,1
advbench-150,150,advbench-150,1,advbench-150,1,advbench-150,1
advbench-151,151,advbench-151,1,advbench-151,1,advbench-151,1
advbench-152,152,advbench-152,1,advbench-152,1,advbench-152,1
advbench-153,153,advbench-158,0,advbench-153,1,advbench-153,1
advbench-154,154,advbench-154,1,advbench-154,1,advbench-154,1
advbench-155,155,advbench-155,1,advbench-155,1,advbench-155,1
advbench-156,156,advbench-156,1,advbench-156,1,advbench-156,1
advbench-157,157,advbench-157,1,advbench-157,1,advbench-157,1
advbench-158,158,advbench-158,1,advbench-158,1,advbench-158,1
advbench-159,159,advbench-159,1,advbench-159,1,advbench-159,1
advbench-160,160,advbench-160,1,advbench-160,1,advbench-160,1
advbench-161,161,advbench-497,0,advbench-497,0,advbench-497,0
advbench-162,162,advbench-162,1,advbench-162,1,advbench-162,1
advbench-163,163,advbench-158,0,advbench-163,1,advbench-163,1
advbench-164,164,advbench-164,1,advbench-164,1,advbench-164,1
advbench-165,165,advbench-165,1,advbench-165,1,advbench-165,1
advbench-166,166,advbench-166,1,advbench-166,1,advbench-166,1
advbench-167,167,advbench-167,1,advbench-167,1,advbench-167,1
advbench-168,168,advbench-168,1,advbench-168,1,advbench-168,1
advbench-169,169,advbench-169,1,advbench-169,1,advbench-169,1
advbench-170,170,advbench-170,1,advbench-170,1,advbench-170,1
advbench-171,171,advbench-171,1,advbench-171,1,advbench-171,1
advbench-172,172,advbench-172,1,advbench-172,1,advbench-172,1
advbench-173,173,advbench-173,1,advbench-173,1,advbench-173,1
advbench-174,174,advbench-174,1,advbench-174,1,advbench-174,1
advbench-175,175,advbench-175,1,advbench-175,1,advbench-175,1
advbench-176,176,advbench-176,1,advbench-176,1,advbench-176,1
advbench-177,177,advbench-177,1,advbench-177,1,advbench-177,1
advbench-178,178,advbench-178,1,advbench-178,1,advbench-178,1
advbench-179,179,advbench-179,1,advbench-179,1,advbench-179,1
advbench-180,180,advbench-180,1,advbench-180,1,advbench-180,1
advbench-181,181,advbench-181,1,advbench-181,1,advbench-181,1
advbench-182,182,advbench-182,1,advbench-182,1,advbench-182,1
advbench-183,183,advbench-183,1,advbench-183,1,advbench-183,1
advbench-184,184,advbench-184,1,advbench-184,1,advbench-184,1
advbench-185,185,advbench-185,1,advbench-185,1,advbench-185,1
advbench-186,186,advbench-186,1,advbench-186,1,advbench-186,1
advbench-187,187,advbench-187,1,advbench-187,1,advbench-187,1
advbench-188,188,advbench-188,1,advbench-188,1,advbench-188,1
advbench-189,189,advbench-189,1,advbench-189,1,advbench-189,1
advbench-190,190,advbench-190,1,advbench-190,1,advbench-190,1
advbench-191,191,advbench-191,1,advbench-191,1,advbench-191,1
advbench-192,192,advbench-192,1,advbench-192,1,advbench-192,1
advbench-193,193,advbench-193,1,advbench-193,1,advbench-193,1
advbench-194,194,advbench-194,1,advbench-194,1,advbench-194,1
advbench-195,195,advbench-195,1,advbench-195,1,advbench-195,1
advbench-196,196,advbench-196,1,advbench-196,1,advbench-196,1
advbench-197,197,advbench-197,1,advbench-197,1,advbench-197,1
advbench-198,198,advbench-198,1,advbench-198,1,advbench-198,1
advbench-199,199,advbench-199,1,advbench-199,1,advbench-199,1
advbench-200,200,advbench-200,1,advbench-200,1,advbench-200,1
advbench-201,201,advbench-201,1,advbench-201,1,advbench-201,1
advbench-202,202,advbench-158,0,advbench-202,1,advbench-202,1
advbench-203,203,advbench-203,1,advbench-203,1,advbench-203,1
advbench-204,204,advbench-204,1,advbench-204,1,advbench-204,1
advbench-205,205,advbench-205,1,advbench-205,1,advbench-205,1
advbench-206,206,advbench-206,1,advbench-206,1,advbench-206,1
advbench-207,207,advbench-207,1,advbench-207,1,advbench-207,1
advbench-208,208,advbench-208,1,advbench-208,1,advbench-208,1
advbench-209,209,advbench-209,1,advbench-209,1,advbench-209,1
advbench-210,210,advbench-210,1,advbench-210,1,advbench-210,1
advbench-211,211,advbench-211,1,advbench-211,1,advbench-211,1
advbench-212,212,advbench-212,1,advbench-212,1,advbench-212,1
advbench-213,213,advbench-288,0,advbench-288,0,advbench-213,1
advbench-214,214,advbench-214,1,advbench-214,1,advbench-214,1
advbench-215,215,advbench-215,1,advbench-215,1,advbench-215,1
advbench-216,216,advbench-216,1,advbench-216,1,advbench-216,1
advbench-217,217,advbench-217,1,advbench-217,1,advbench-217,1
advbench-218,218,advbench-218,1,advbench-218,1,advbench-218,1
advbench-219,219,advbench-219,1,advbench-219,1,advbench-219,1
advbench-220,220,advbench-220,1,advbench-220,1,advbench-220,1
advbench-221,221,advbench-221,1,advbench-221,1,advbench-221,1
advbench-222,222,advbench-222,1,advbench-222,1,advbench-222,1
advbench-223,223,advbench-223,1,advbench-223,1,advbench-223,1
advbench-224,224,advbench-170,0,advbench-170,0,advbench-170,0
advbench-225,225,advbench-225,1,advbench-225,1,advbench-225,1
advbench-226,226,advbench-226,1,advbench-226,1,advbench-226,1
advbench-227,227,advbench-227,1,advbench-227,1,advbench-227,1
advbench-228,228,advbench-228,1,advbench-228,1,advbench-228,1
advbench-229,229,advbench-229,1,advbench-229,1,advbench-229,1
advbench-230,230,advbench-230,1,advbench-230,1,advbench-230,1
advbench-231,231,advbench-231,1,advbench-231,1,advbench-231,1
advbench-232,232,advbench-232,1,advbench-232,1,advbench-232,1
advbench-233,233,advbench-233,1,advbench-233,1,advbench-233,1
advbench-234,234,advbench-234,1,advbench-234,1,advbench-234,1
advbench-235,235,advbench-235,1,advbench-235,1,advbench-235,1
advbench-236,236,advbench-399,0,advbench-399,0,advbench-236,1
advbench-237,237,advbench-237,1,advbench-237,1,advbench-237,1
advbench-238,238,advbench-238,1,advbench-238,1,advbench-238,1
advbench-239,239,advbench-239,1,advbench-239,1,advbench-239,1
advbench-240,240,advbench-409,0,advbench-240,1,advbench-240,1
advbench-241,241,advbench-241,1,advbench-241,1,advbench-241,1
advbench-242,242,advbench-242,1,advbench-242,1,advbench-242,1
advbench-243,243,advbench-243,1,advbench-243,1,advbench-243,1
advbench-244,244,advbench-244,1,advbench-244,1,advbench-244,1
advbench-245,245,advbench-317,0,advbench-317,0,advbench-245,1
advbench-246,246,advbench-246,1,advbench-246,1,advbench-246,1
advbench-247,247,advbench-455,0,advbench-455,0,advbench-247,1
advbench-248,248,advbench-248,1,advbench-248,1,advbench-248,1
advbench-249,249,advbench-249,1,advbench-249,1,advbench-249,1
advbench-250,250,advbench-250,1,advbench-250,1,advbench-250,1
advbench-251,251,advbench-251,1,advbench-251,1,advbench-251,1
advbench-252,252,advbench-252,1,advbench-252,1,advbench-252,1
advbench-253,253,advbench-253,1,advbench-253,1,advbench-253,1
advbench-254,254,advbench-254,1,advbench-254,1,advbench-254,1
advbench-255,255,advbench-255,1,advbench-255,1,advbench-255,1
advbench-256,256,advbench-256,1,advbench-256,1,advbench-256,1
advbench-257,257,advbench-257,1,advbench-257,1,advbench-257,1
advbench-258,258,advbench-258,1,advbench-258,1,advbench-258,1
advbench-259,259,advbench-259,1,advbench-259,1,advbench-259,1
advbench-260,260,advbench-260,1,advbench-260,1,advbench-260,1
advbench-261,261,advbench-261,1,advbench-261,1,advbench-261,1
advbench-262,262,advbench-262,1,advbench-262,1,advbench-262,1
advbench-263,263,advbench-263,1,advbench-263,1,advbench-263,1
advbench-264,264,advbench-264,1,advbench-264,1,advbench-264,1
advbench-265,265,advbench-265,1,advbench-265,1,advbench-265,1
advbench-266,266,advbench-266,1,advbench-266,1,advbench-266,1
advbench-267,267,advbench-223,0,advbench-267,1,advbench-267,1
advbench-268,268,advbench-268,1,advbench-268,1,advbench-268,1
advbench-269,269,advbench-269,1,advbench-269,1,advbench-269,1
advbench-270,270,advbench-270,1,advbench-270,1,advbench-270,1
advbench-271,271,advbench-271,1,advbench-271,1,advbench-271,1
advbench-272,272,advbench-470,0,advbench-272,1,advbench-272,1
advbench-273,273,advbench-273,1,advbench-273,1,advbench-273,1
advbench-274,274,advbench-274,1,advbench-274,1,advbench-274,1
advbench-275,275,advbench-508,0,advbench-508,0,advbench-508,0
advbench-276,276,advbench-368,0,advbench-368,0,advbench-276,1
advbench-277,277,advbench-277,1,advbench-277,1,advbench-277,1
advbench-278,278,advbench-278,1,advbench-278,1,advbench-278,1
advbench-279,279,advbench-279,1,advbench-279,1,advbench-279,1
advbench-280,280,advbench-280,1,advbench-280,1,advbench-280,1
advbench-281,281,advbench-281,1,advbench-281,1,advbench-281,1
advbench-282,282,advbench-282,1,advbench-282,1,advbench-282,1
advbench-283,283,advbench-283,1,advbench-283,1,advbench-283,1
advbench-284,284,advbench-284,1,advbench-284,1,advbench-284,1
advbench-285,285,advbench-66,0,advbench-285,1,advbench-285,1
advbench-286,286,advbench-286,1,advbench-286,1,advbench-286,1
advbench-287,287,advbench-287,1,advbench-287,1,advbench-287,1
advbench-288,288,advbench-288,1,advbench-288,1,advbench-288,1
advbench-289,289,advbench-289,1,advbench-289,1,advbench-289,1
advbench-290,290,advbench-290,1,advbench-290,1,advbench-290,1
advbench-291,291,advbench-291,1,advbench-291,1,advbench-291,1
advbench-292,292,advbench-292,1,advbench-292,1,advbench-292,1
advbench-293,293,advbench-293,1,advbench-293,1,advbench-293,1
advbench-294,294,advbench-158,0,advbench-32,0,advbench-32,0
advbench-295,295,advbench-295,1,advbench-295,1,advbench-295,1
advbench-296,296,advbench-296,1,advbench-296,1,advbench-296,1
advbench-297,297,advbench-297,1,advbench-297,1,advbench-297,1
advbench-298,298,advbench-298,1,advbench-298,1,advbench-298,1
advbench-299,299,advbench-299,1,advbench-299,1,advbench-299,1
advbench-300,300,advbench-300,1,advbench-300,1,advbench-300,1
advbench-301,301,advbench-301,1,advbench-301,1,advbench-301,1
advbench-302,302,advbench-302,1,advbench-302,1,advbench-302,1
advbench-303,303,advbench-303,1,advbench-303,1,advbench-303,1
advbench-304,304,advbench-304,1,advbench-304,1,advbench-304,1
advbench-305,305,advbench-305,1,advbench-305,1,advbench-305,1
advbench-306,306,advbench-306,1,advbench-306,1,advbench-306,1
advbench-307,307,advbench-307,1,advbench-307,1,advbench-307,1
advbench-308,308,advbench-308,1,advbench-308,1,advbench-308,1
advbench-309,309,advbench-309,1,advbench-309,1,advbench-309,1
advbench-310,310,advbench-261,0,advbench-310,1,advbench-310,1
advbench-311,311,advbench-261,0,advbench-311,1,advbench-311,1
advbench-312,312,advbench-312,1,advbench-312,1,advbench-312,1
advbench-313,313,advbench-313,1,advbench-313,1,advbench-313,1
advbench-314,314,advbench-314,1,advbench-314,1,advbench-314,1
advbench-315,315,advbench-315,1,advbench-315,1,advbench-315,1
advbench-316,316,advbench-316,1,advbench-316,1,advbench-316,1
advbench-317,317,advbench-317,1,advbench-317,1,advbench-317,1
advbench-318,318,advbench-318,1,advbench-318,1,advbench-318,1
advbench-319,319,advbench-319,1,advbench-319,1,advbench-319,1
advbench-320,320,advbench-16,0,advbench-320,1,advbench-320,1
advbench-321,321,advbench-321,1,advbench-321,1,advbench-321,1
advbench-322,322,advbench-322,1,advbench-322,1,advbench-322,1
advbench-323,323,advbench-323,1,advbench-323,1,advbench-323,1
advbench-324,324,advbench-455,0,advbench-455,0,advbench-455,0
advbench-325,325,advbench-325,1,advbench-325,1,advbench-325,1
advbench-326,326,advbench-326,1,advbench-326,1,advbench-326,1
advbench-327,327,advbench-327,1,advbench-327,1,advbench-327,1
advbench-328,328,advbench-384,0,advbench-328,1,advbench-328,1
advbench-329,329,advbench-329,1,advbench-329,1,advbench-329,1
advbench-330,330,advbench-330,1,advbench-330,1,advbench-330,1
advbench-331,331,advbench-331,1,advbench-331,1,advbench-331,1
advbench-332,332,advbench-332,1,advbench-332,1,advbench-332,1
advbench-333,333,advbench-333,1,advbench-333,1,advbench-333,1
advbench-334,334,advbench-334,1,advbench-334,1,advbench-334,1
advbench-335,335,advbench-335,1,advbench-335,1,advbench-335,1
advbench-336,336,advbench-336,1,advbench-336,1,advbench-336,1
advbench-337,337,advbench-337,1,advbench-337,1,advbench-337,1
advbench-338,338,advbench-338,1,advbench-338,1,advbench-338,1
advbench-339,339,advbench-339,1,advbench-339,1,advbench-339,1
advbench-340,340,advbench-112,0,advbench-112,0,advbench-112,0
advbench-341,341,advbench-341,1,advbench-341,1,advbench-341,1
advbench-342,342,advbench-342,1,advbench-342,1,advbench-342,1
advbench-343,343,advbench-343,1,advbench-343,1,advbench-343,1
advbench-344,344,advbench-344,1,advbench-344,1,advbench-344,1
advbench-345,345,advbench-158,0,advbench-202,0,advbench-202,0
advbench-346,346,advbench-158,0,advbench-153,0,advbench-346,1
advbench-347,347,advbench-347,1,advbench-347,1,advbench-347,1
advbench-348,348,advbench-348,1,advbench-348,1,advbench-348,1
advbench-349,349,advbench-349,1,advbench-349,1,advbench-349,1
advbench-350,350,advbench-409,0,advbench-350,1,advbench-350,1
advbench-351,351,advbench-351,1,advbench-351,1,advbench-351,1
advbench-352,352,advbench-371,0,advbench-352,1,advbench-352,1
advbench-353,353,advbench-353,1,advbench-353,1,advbench-353,1
advbench-354,354,advbench-354,1,advbench-354,1,advbench-354,1
advbench-355,355,advbench-355,1,advbench-355,1,advbench-355,1
advbench-356,356,advbench-356,1,advbench-356,1,advbench-356,1
advbench-357,357,advbench-357,1,advbench-357,1,advbench-357,1
advbench-358,358,advbench-232,0,advbench-358,1,advbench-358,1
advbench-359,359,advbench-359,1,advbench-359,1,advbench-359,1
advbench-360,360,advbench-360,1,advbench-360,1,advbench-360,1
advbench-361,361,advbench-361,1,advbench-361,1,advbench-361,1
advbench-362,362,advbench-362,1,advbench-362,1,advbench-362,1
advbench-363,363,advbench-384,0,advbench-328,0,advbench-328,0
advbench-364,364,advbench-364,1,advbench-364,1,advbench-364,1
advbench-365,365,advbench-365,1,advbench-365,1,advbench-365,1
advbench-366,366,advbench-366,1,advbench-366,1,advbench-366,1
advbench-367,367,advbench-116,0,advbench-367,1,advbench-367,1
advbench-368,368,advbench-368,1,advbench-368,1,advbench-368,1
advbench-369,369,advbench-369,1,advbench-369,1,advbench-369,1
advbench-370,370,advbench-370,1,advbench-370,1,advbench-370,1
advbench-371,371,advbench-371,1,advbench-371,1,advbench-371,1
advbench-372,372,advbench-237,0,advbench-237,0,advbench-372,1
advbench-373,373,advbench-16,0,advbench-373,1,advbench-373,1
advbench-374,374,advbench-374,1,advbench-374,1,advbench-374,1
advbench-375,375,advbench-375,1,advbench-375,1,advbench-375,1
advbench-376,376,advbench-55,0,advbench-55,0,advbench-376,1
advbench-377,377,advbench-377,1,advbench-377,1,advbench-377,1
advbench-378,378,advbench-378,1,advbench-378,1,advbench-378,1
advbench-379,379,advbench-379,1,advbench-379,1,advbench-379,1
advbench-380,380,advbench-380,1,advbench-380,1,advbench-380,1
advbench-381,381,advbench-1,0,advbench-1,0,advbench-1,0
advbench-382,382,advbench-382,1,advbench-382,1,advbench-382,1
advbench-383,383,advbench-383,1,advbench-383,1,advbench-383,1
advbench-384,384,advbench-384,1,advbench-384,1,advbench-384,1
advbench-385,385,advbench-385,1,advbench-385,1,advbench-385,1
advbench-386,386,advbench-386,1,advbench-386,1,advbench-386,1
advbench-387,387,advbench-387,1,advbench-387,1,advbench-387,1
advbench-388,388,advbench-388,1,advbench-388,1,advbench-388,1
advbench-389,389,advbench-389,1,advbench-389,1,advbench-389,1
advbench-390,390,advbench-113,0,advbench-113,0,advbench-113,0
advbench-391,391,advbench-391,1,advbench-391,1,advbench-391,1
advbench-392,392,advbench-392,1,advbench-392,1,advbench-392,1
advbench-393,393,advbench-313,0,advbench-393,1,advbench-393,1
advbench-394,394,advbench-394,1,advbench-394,1,advbench-394,1
advbench-395,395,advbench-395,1,advbench-395,1,advbench-395,1
advbench-396,396,advbench-384,0,advbench-396,1,advbench-396,1
advbench-397,397,advbench-397,1,advbench-397,1,advbench-397,1
advbench-398,398,advbench-398,1,advbench-398,1,advbench-398,1
advbench-399,399,advbench-399,1,advbench-399,1,advbench-399,1
advbench-400,400,advbench-400,1,advbench-400,1,advbench-400,1
advbench-401,401,advbench-401,1,advbench-401,1,advbench-401,1
advbench-402,402,advbench-402,1,advbench-402,1,advbench-402,1
advbench-403,403,advbench-384,0,advbench-328,0,advbench-460,0
advbench-404,404,advbench-404,1,advbench-404,1,advbench-404,1
advbench-405,405,advbench-405,1,advbench-405,1,advbench-405,1
advbench-406,406,advbench-406,1,advbench-406,1,advbench-406,1
advbench-407,407,advbench-407,1,advbench-407,1,advbench-407,1
advbench-408,408,advbench-408,1,advbench-408,1,advbench-408,1
advbench-409,409,advbench-409,1,advbench-409,1,advbench-409,1
advbench-410,410,advbench-410,1,advbench-410,1,advbench-410,1
advbench-411,411,advbench-261,0,advbench-411,1,advbench-411,1
advbench-412,412,advbench-412,1,advbench-412,1,advbench-412,1
advbench-413,413,advbench-413,1,advbench-413,1,advbench-413,1
advbench-414,414,advbench-414,1,advbench-414,1,advbench-414,1
advbench-415,415,advbench-415,1,advbench-415,1,advbench-415,1
advbench-416,416,advbench-416,1,advbench-416,1,advbench-416,1
advbench-417,417,advbench-417,1,advbench-417,1,advbench-417,1
advbench-418,418,advbench-455,0,advbench-418,1,advbench-418,1
advbench-419,419,advbench-419,1,advbench-419,1,advbench-419,1
advbench-420,420,advbench-420,1,advbench-420,1,advbench-420,1
advbench-421,421,advbench-450,0,advbench-421,1,advbench-421,1
advbench-422,422,advbench-422,1,advbench-422,1,advbench-422,1
advbench-423,423,advbench-158,0,advbench-153,0,advbench-423,1
advbench-424,424,advbench-424,1,advbench-424,1,advbench-424,1
advbench-425,425,advbench-425,1,advbench-425,1,advbench-425,1
advbench-426,426,advbench-426,1,advbench-426,1,advbench-426,1
advbench-427,427,advbench-427,1,advbench-427,1,advbench-427,1
advbench-428,428,advbench-428,1,advbench-428,1,advbench-428,1
advbench-429,429,advbench-66,0,advbench-429,1,advbench-429,1
advbench-430,430,advbench-430,1,advbench-430,1,advbench-430,1
advbench-431,431,advbench-431,1,advbench-431,1,advbench-431,1
advbench-432,432,advbench-432,1,advbench-432,1,advbench-432,1
advbench-433,433,advbench-433,1,advbench-433,1,advbench-433,1
advbench-434,434,advbench-384,0,advbench-434,1,advbench-434,1
